7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,"11,1","11,1","11,1","11,1"
9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,"4,1","4,1","4,1","4,1","1,3","1,3","1,3","1,3",3,3,3,3,2,2
9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,"1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5",4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,"9,1","9,1","9,1","9,1","1,8","1,8","1,8","1,8",8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5
2,2,2,2,2,2,2,2,"11,1","11,1","11,1","11,1","11,1","11,1","11,1","11,1",10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6
"4,1","4,1","1,3","1,3","1,3","1,3",3,3,3,3,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7
5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9
6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,10,10,10,10,10,10
